model,recall,f2,f1,pr_auc,roc_auc,precision,accuracy,features,best_params,cv_best_score,conf_matrix,search_time
Logistic Regression with Binning (Feature Selection),0.9395348837209302,0.8551040154813739,0.7535305089261923,0.7080955188257543,0.9474808437858366,0.6290035587188612,0.8964513601253778,14,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9395348837209301,"[[6594, 834], [91, 1414]]",1.9914329051971436
Logistic Regression with Binning,0.9375415282392027,0.8549442559379544,0.7551511907947551,0.7406109188630617,0.9521591106292614,0.632168458781362,0.8975708048807791,26,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.9375415282392027,"[[6607, 821], [94, 1411]]",3.0232019424438477
XGBoost with Binning,0.9365976145637163,0.9241823587710605,0.90616459155785,0.9668915517212792,0.9850686373461467,0.8776470588235294,0.9677856547122602,26,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.936594310049092,"[[7791, 208], [101, 1492]]",24.96772265434265
XGBoost (base),0.9365976145637163,0.9260178748758687,0.9105889533109551,0.9673513108996352,0.9862936413818835,0.8859857482185273,0.9694537114261885,18,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__n_estimators': 100, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 1.0}",0.9365923384791308,"[[7807, 192], [101, 1492]]",20.325400352478027
XGBoost (Core + Burnout),0.9365976145637163,0.9239534307654197,0.9056145675265554,0.9654620067288626,0.9837409054662906,0.8766157461809636,0.9675771476230192,7,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9365923384791308,"[[7789, 210], [101, 1492]]",14.962269306182861
XGBoost with Binning (feature selection),0.935969868173258,0.9260869565217391,0.9116478141241211,0.9660726656874173,0.9845341621877248,0.8885578069129917,0.9698707256046706,14,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9359653792314819,"[[7812, 187], [102, 1491]]",19.34374237060547
Decision Tree with Binning (feature selection),0.9353421217827997,0.9207761710542577,0.8997584541062801,0.8947568292246346,0.9595229143128139,0.8667830133798721,0.9653878231859884,14,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9353305337039884,"[[7770, 229], [103, 1490]]",5.512525320053101
XGBoost with Flags (feature selection),0.9353421217827997,0.9268474744961432,0.9143909174593433,0.9649650689551916,0.9836561098699796,0.8943577430972389,0.9709132610508757,9,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 5, 'model__reg_alpha': 1, 'model__n_estimators': 300, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9353344768439108,"[[7823, 176], [103, 1490]]",15.630921363830566
Logistic Regression (Core + Burnout),0.9348837209302325,0.7987964119450437,0.6556383970177074,0.45966030703183597,0.8865641274731331,0.5048439181916039,0.8345460651516847,7,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9348837209302326,"[[6048, 1380], [98, 1407]]",0.5481772422790527
XGBoost with Flags,0.9347143753923415,0.9254195152268488,0.9118187385180649,0.9665151589279795,0.9859019963810605,0.8900179318589361,0.9699749791492911,21,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9347094891662231,"[[7815, 184], [104, 1489]]",22.045020818710327
XGBoost with Interaction,0.9340866290018832,0.9275651415035531,0.9179518815545961,0.9639953772833165,0.9832508096782656,0.9023650697392359,0.9722685571309424,22,"{'model__subsample': 0.8, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 5, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9340766152086907,"[[7838, 161], [105, 1488]]",25.540060997009277
Decision Tree with Binning,0.9340866290018832,0.9186319298678849,0.8963855421686747,0.8952059898271851,0.956222988325518,0.861609727851766,0.9641367806505421,26,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9340766152086907,"[[7760, 239], [105, 1488]]",5.933202028274536
Logistic Regression with Interaction,0.9335548172757475,0.8081214770505004,0.6725706079463859,0.4786288274754894,0.901326577894185,0.5256266367377479,0.8468599574610993,22,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9335548172757475,"[[6160, 1268], [100, 1405]]",5.301391363143921
Decision Tree with Interaction,0.933458882611425,0.9071498291849681,0.8703541117939714,0.8625753679245285,0.9604037918424674,0.8152412280701754,0.9538156797331109,22,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2}",0.9334496559610418,"[[7662, 337], [106, 1487]]",6.438565492630005
Decision Tree with Interaction (feature selection),0.9328311362209667,0.902794653705954,0.861199652274703,0.8275226884415517,0.9576690259540445,0.7997847147470398,0.9500625521267723,10,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2}",0.9328246682833541,"[[7627, 372], [107, 1486]]",5.823837757110596
XGBoost (Core + Interactions + Burnout),0.9322033898305084,0.9173461823573018,0.8959276018099548,0.955205563072366,0.9804582446628805,0.8623693379790941,0.9640325271059216,6,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9322036237455886,"[[7762, 237], [108, 1485]]",15.302568912506104
Decision Tree (Core + Interactions),0.9315756434400502,0.9092023036392598,0.8775872264931993,0.8943870784906739,0.9602835633801369,0.8295136948015651,0.9568390325271059,6,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2}",0.9315668066481338,"[[7694, 305], [109, 1484]]",4.014019012451172
XGBoost with Interaction (feature selection),0.9315756434400502,0.9258797105066136,0.9174652241112828,0.9641999684832789,0.9832347216660087,0.9037758830694276,0.9721643035863219,10,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.9315687782180951,"[[7841, 158], [109, 1484]]",19.791043758392334
Decision Tree with Flags,0.9309478970495919,0.9090351845041069,0.8780343398460628,0.9328126449113482,0.9660757971394259,0.830812324929972,0.9570475396163469,21,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9309418189704461,"[[7697, 302], [110, 1483]]",3.7658472061157227
XGBoost (Core + Interactions),0.9309478970495919,0.919746961051848,0.9034419738044471,0.9551679682655035,0.9802965405201701,0.8775147928994083,0.9669516263552961,6,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5.02134337727558, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 100, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.9309457621103684,"[[7792, 207], [110, 1483]]",15.848652839660645
Decision Tree (Core + Interactions + Burnout),0.9303201506591338,0.897420370594647,0.8522139160437033,0.8054475878469958,0.9551361842389745,0.7862068965517242,0.9464136780650542,6,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9303128881528361,"[[7596, 403], [111, 1482]]",3.6707377433776855
Random Forest with Interaction (feature selection),0.9303201506591338,0.904209884075656,0.8676814988290398,0.9195097390736311,0.9758689233517654,0.8129456939111355,0.9528773978315263,10,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9303109165828749,"[[7658, 341], [111, 1482]]",174.32089710235596
Random Forest with Interaction,0.9296924042686755,0.9037100317305345,0.8673499267935577,0.9196113849630079,0.9759236225934393,0.8128430296377607,0.9527731442869057,22,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9296819857652648,"[[7658, 341], [112, 1481]]",176.25969457626343
Decision Tree with Flags (feature selection),0.9296924042686755,0.9097051597051597,0.8812853317465041,0.9337543551281403,0.9652841492192173,0.8376696832579186,0.9584028356964137,9,"{'model__class_weight': 'balanced', 'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9296859289051872,"[[7712, 287], [112, 1481]]",3.2045068740844727
Random Forest (Core + Interactions + Burnout),0.9296924042686755,0.900851581508516,0.860796280151119,0.909001906782493,0.9738886459991428,0.8014069264069265,0.9500625521267723,6,"{'model__n_estimators': 100, 'model__min_samples_split': 3, 'model__min_samples_leaf': 2, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.929683957335226,"[[7632, 367], [112, 1481]]",79.03555607795715
Random Forest with Flags (feature selection),0.9290646578782172,0.8738781294284365,0.8023854703171592,0.9337457893425728,0.9730445354633548,0.7061068702290076,0.923999165971643,9,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 3, 'model__class_weight': 'balanced'}",0.9290412255278879,"[[7383, 616], [113, 1480]]",75.86430668830872
Random Forest with Flags,0.9290646578782172,0.8738781294284365,0.8023854703171592,0.9333353912248407,0.9731687270701682,0.7061068702290076,0.923999165971643,21,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 3, 'model__class_weight': 'balanced'}",0.9290412255278879,"[[7383, 616], [113, 1480]]",80.66225528717041
Random Forest with Binning (feature selection),0.928436911487759,0.923682238321259,0.9166408428881314,0.9167262420676983,0.9749754893247407,0.905140758873929,0.9719557964970809,14,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9284320104098894,"[[7844, 155], [114, 1479]]",81.90050935745239
Random Forest with Binning,0.9278091650973007,0.9231730168644596,0.9163050216986982,0.9159435939712491,0.9747555936645251,0.9050826699326393,0.9718515429524603,26,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.9278050511622405,"[[7844, 155], [115, 1478]]",91.70483803749084
Random Forest (Core + Interactions),0.9278091650973007,0.861707089552239,0.7785093494864367,0.8310162678988903,0.9608974583844324,0.6705989110707804,0.9123227689741451,6,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_samples': 1.0, 'model__max_features': 1.0, 'model__max_depth': 3, 'model__class_weight': 'balanced'}",0.9277991364523569,"[[7273, 726], [115, 1478]]",93.47008109092712
Logistic Regression with Flags (Feature Selection),0.9176079734219269,0.8705244578920827,0.8083113842551947,0.8187617457358973,0.953360455276524,0.7222803347280334,0.9266763685212135,9,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.9176079734219268,"[[6897, 531], [124, 1381]]",0.813288688659668
Logistic Regression with Flags,0.9176079734219269,0.8683350100603622,0.8036077974978179,0.8347760434428095,0.9579516850133374,0.7148033126293996,0.9244374790104108,21,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.917607973421927,"[[6877, 551], [124, 1381]]",1.8916676044464111
Logistic Regression (Minimal Binned),0.878405315614618,0.7703064910849552,0.6502705361534679,0.6062134254930328,0.9208270493079074,0.516204607575166,0.8408149557819322,9,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.8784053156146179,"[[6189, 1239], [183, 1322]]",0.8102548122406006
