satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,promotion_last_5years,burnout,actual,predicted,predicted_proba
0.16,0.76,5,192,3,0,False,0,1,0.9253218458566451
0.36,0.68,2,126,4,0,False,0,1,0.9253218458566451
0.28,0.59,6,281,3,0,True,0,1,0.9253218458566451
0.78,0.45,4,128,2,0,False,1,0,0.023594171982899707
0.13,0.76,5,219,4,0,False,0,1,0.9253218458566451
0.31,0.79,2,193,4,0,False,0,1,0.9253218458566451
0.23,0.96,2,234,4,0,False,0,1,0.9253218458566451
0.18,0.86,6,264,3,0,True,0,1,0.9253218458566451
0.24,0.76,6,213,4,0,True,0,1,0.9253218458566451
0.29,0.91,4,183,4,0,False,0,1,0.9253218458566451
0.34,0.69,2,178,3,0,False,0,1,0.9253218458566451
0.41,0.68,4,273,3,0,False,0,1,0.9253218458566451
0.39,0.68,2,137,3,0,False,0,1,0.9253218458566451
0.15,0.91,5,267,4,0,True,0,1,0.9253218458566451
0.23,0.63,5,151,4,0,False,0,1,0.9253218458566451
0.36,0.61,4,166,4,0,False,0,1,0.9253218458566451
0.64,0.99,5,262,5,0,False,0,1,0.9749618774277005
0.2,0.76,5,188,3,0,False,0,1,0.9253218458566451
0.19,0.64,5,181,4,0,False,0,1,0.9253218458566451
0.34,0.78,5,137,4,0,False,0,1,0.9253218458566451
0.32,0.45,2,188,3,0,False,0,1,0.9253218458566451
0.21,0.96,4,287,5,0,True,0,1,0.584368281533741
0.35,0.81,6,256,3,0,False,0,1,0.9253218458566451
0.22,0.53,5,160,4,0,False,0,1,0.9253218458566451
0.21,0.56,6,277,5,0,True,0,1,0.584368281533741
0.16,0.7,3,178,3,0,False,0,1,0.9253218458566451
0.19,0.85,6,259,3,0,True,0,1,0.9253218458566451
0.14,0.58,6,205,3,0,True,0,1,0.9253218458566451
0.35,0.59,5,268,3,0,False,0,1,0.9253218458566451
0.43,0.98,4,164,3,1,False,0,1,0.9253218458566451
0.25,0.65,3,264,4,0,True,0,1,0.9253218458566451
0.29,0.88,6,183,4,0,True,0,1,0.9253218458566451
0.7,0.84,6,161,4,0,False,1,0,0.2845543277675256
0.24,0.89,5,169,4,0,False,0,1,0.9253218458566451
0.9,0.87,4,231,5,0,False,0,1,0.9749618774277005
0.12,0.61,6,257,3,0,True,0,1,0.9253218458566451
0.41,0.7,4,177,3,0,False,0,1,0.9253218458566451
0.32,0.74,3,211,3,0,False,0,1,0.9253218458566451
0.37,0.88,4,155,3,0,False,0,1,0.9253218458566451
0.24,0.65,4,248,3,0,True,0,1,0.9253218458566451
0.27,0.96,3,255,4,0,True,0,1,0.9253218458566451
0.44,0.66,3,161,3,0,False,0,1,0.9253218458566451
0.21,0.57,5,239,3,0,False,0,1,0.9253218458566451
0.2,0.48,4,156,4,0,False,0,1,0.9253218458566451
0.75,1.0,4,216,6,0,False,1,0,0.05976271237093376
0.32,0.69,5,157,4,0,False,0,1,0.9253218458566451
0.55,0.81,4,267,5,0,False,0,1,0.9749618774277005
0.58,0.62,4,238,3,0,False,1,0,0.023594171982899707
0.66,0.57,5,161,5,0,False,1,0,0.14716136236944694
0.12,0.6,2,194,4,0,False,0,1,0.9253218458566451
0.19,0.68,5,149,3,0,False,0,1,0.9253218458566451
0.14,0.9,4,198,4,0,False,0,1,0.9253218458566451
0.78,0.78,4,260,5,0,False,1,0,0.14716136236944694
0.37,0.85,2,185,3,0,False,0,1,0.9253218458566451
0.19,0.79,4,229,4,0,False,0,1,0.9253218458566451
0.18,0.75,3,250,3,0,True,0,1,0.9253218458566451
0.49,0.86,5,235,5,0,False,0,1,0.9749618774277005
0.13,0.74,6,132,4,0,True,0,1,0.9253218458566451
0.36,0.78,6,151,3,0,False,0,1,0.9253218458566451
0.2,0.9,3,218,4,0,False,0,1,0.9253218458566451
0.19,0.83,3,225,4,0,False,0,1,0.9253218458566451
0.6,0.85,3,250,2,0,False,1,0,0.023594171982899707
0.35,0.63,3,156,3,0,False,0,1,0.9253218458566451
0.43,0.72,3,258,4,0,False,0,1,0.9253218458566451
0.16,0.76,4,223,4,0,False,0,1,0.9253218458566451
0.3,0.47,2,159,4,0,False,0,1,0.9253218458566451
0.18,0.62,3,165,4,0,False,0,1,0.9253218458566451
0.18,0.54,4,165,3,0,False,0,1,0.9253218458566451
0.23,0.87,5,258,4,0,True,0,1,0.9253218458566451
0.19,1.0,4,188,4,0,False,0,1,0.9253218458566451
0.19,0.8,6,143,4,0,True,0,1,0.9253218458566451
0.17,0.93,3,218,4,0,False,0,1,0.9253218458566451
0.17,0.71,5,257,4,0,True,0,1,0.9253218458566451
0.21,0.81,5,169,4,0,False,0,1,0.9253218458566451
0.6,0.86,6,247,6,0,False,0,1,0.9749618774277005
0.64,0.9,5,279,5,0,False,0,1,0.9749618774277005
0.32,0.87,4,179,4,0,False,0,1,0.9253218458566451
0.89,0.87,2,270,6,0,False,0,1,0.9749618774277005
0.16,0.72,3,203,3,0,False,0,1,0.9253218458566451
0.19,0.79,5,171,3,0,False,0,1,0.9253218458566451
0.44,0.67,5,170,3,0,False,0,1,0.9253218458566451
0.42,0.5,5,286,4,0,False,0,1,0.9253218458566451
